country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,kmeans_cluster,aid_priority,dbscan_cluster
Afghanistan,90.2,55.3,41.9174,248.297,1610,9.44,56.2,5.82,553,0,High Aid Need,0
Albania,16.6,1145.2,267.895,1987.74,9930,4.49,76.3,1.65,4090,2,Medium Aid Need,0
Algeria,27.3,1712.64,185.982,1400.44,12900,16.1,76.5,2.89,4460,2,Medium Aid Need,0
Angola,119.0,2199.19,100.605,1514.37,5900,22.4,60.1,6.16,3530,0,High Aid Need,0
Antigua and Barbuda,10.3,5551.0,735.66,7185.8,19100,1.44,76.8,2.13,12200,2,Medium Aid Need,0
Argentina,14.5,1946.6999999999998,834.3,1648.0,18700,20.9,75.8,2.37,10300,2,Medium Aid Need,0
Armenia,18.1,669.76,141.68,1458.66,6700,7.77,73.3,1.69,3220,2,Medium Aid Need,0
Australia,4.8,10276.2,4530.87,10847.1,41400,1.16,82.0,1.93,51900,1,Low Aid Need,0
Austria,4.3,24059.7,5159.0,22418.2,43200,0.873,80.5,1.44,46900,1,Low Aid Need,0
Azerbaijan,39.2,3171.12,343.392,1208.88,16000,13.8,69.1,1.92,5840,2,Medium Aid Need,0
Bahamas,13.8,9800.0,2209.2,12236.0,22900,-0.393,73.8,1.86,28000,2,Medium Aid Need,0
Bahrain,8.6,14386.5,1028.79,10536.3,41100,7.44,76.0,2.16,20700,2,Medium Aid Need,0
Bangladesh,49.4,121.28,26.6816,165.24400000000003,2440,7.14,70.4,2.33,758,2,Medium Aid Need,0
Barbados,14.2,6320.0,1275.2,7792.0,15300,0.321,76.7,1.78,16000,2,Medium Aid Need,0
Belarus,5.5,3099.42,338.283,3889.35,16200,15.1,70.4,1.49,6030,2,Medium Aid Need,0
Belgium,4.5,33921.600000000006,4750.799999999999,33166.8,41100,1.88,80.0,1.86,44400,1,Low Aid Need,0
Belize,18.8,2525.88,225.68,2495.5,7880,1.14,71.4,2.71,4340,2,Medium Aid Need,0
Benin,111.0,180.40400000000002,31.077999999999996,281.976,1820,0.885,61.8,5.36,758,0,High Aid Need,0
Bhutan,42.7,926.5,113.36,1541.26,6420,5.99,72.1,2.38,2180,2,Medium Aid Need,0
Bolivia,46.6,815.76,95.832,679.14,5410,8.78,71.6,3.2,1980,2,Medium Aid Need,0
